ID	Number_DAs	Success_DAs	Challenge	Group
0002-YK86	81	37	ELM1A	WT
0002-YK86	82	37	ELM1A	WT
0002-YK86	83	37	ELM1A	WT
0002-YK86	84	37	ELM1A	WT
0002-YK86	85	38	ELM1A	WT
0002-YK86	86	39	ELM1A	WT
0002-YK86	87	40	ELM1A	WT
0002-YK86	88	40	ELM1A	WT
0002-YK86	89	41	ELM1A	WT
0002-YK86	90	41	ELM1A	WT
0002-YK86	91	41	ELM1A	WT
0002-YK86	92	41	ELM1A	WT
0002-YK86	93	42	ELM1A	WT
0002-YK86	94	43	ELM1A	WT
0002-YK86	1	0	ELM1R	WT
0002-YK86	2	0	ELM1R	WT
0002-YK86	3	1	ELM1R	WT
0002-YK86	4	1	ELM1R	WT
0002-YK86	5	2	ELM1R	WT
0002-YK86	6	2	ELM1R	WT
0002-YK86	7	2	ELM1R	WT
0002-YK86	8	2	ELM1R	WT
0002-YK86	9	2	ELM1R	WT
0002-YK86	10	3	ELM1R	WT
0002-YK86	11	3	ELM1R	WT
0002-YK86	12	3	ELM1R	WT
0002-YK86	13	3	ELM1R	WT
0002-YK86	14	4	ELM1R	WT
0002-YK86	15	4	ELM1R	WT
0002-YK86	16	4	ELM1R	WT
0002-YK86	17	4	ELM1R	WT
0002-YK86	18	4	ELM1R	WT
0002-YK86	19	4	ELM1R	WT
0002-YK86	20	5	ELM1R	WT
0002-YK86	21	6	ELM1R	WT
0002-YK86	22	6	ELM1R	WT
0002-YK86	23	6	ELM1R	WT
0002-YK86	24	6	ELM1R	WT
0002-YK86	25	6	ELM1R	WT
0002-YK86	26	7	ELM1R	WT
0002-YK86	27	8	ELM1R	WT
0002-YK86	28	9	ELM1R	WT
0002-YK86	29	10	ELM1R	WT
0002-YK86	30	10	ELM1R	WT
0002-YK86	31	10	ELM1R	WT
0002-YK86	32	10	ELM1R	WT
0002-YK86	33	11	ELM1R	WT
0002-YK86	34	11	ELM1R	WT
0002-YK86	35	12	ELM1R	WT
0002-YK86	36	13	ELM1R	WT
0002-YK86	37	14	ELM1R	WT
0002-YK86	38	15	ELM1R	WT
0002-YK86	39	16	ELM1R	WT
0002-YK86	40	17	ELM1R	WT
0002-YK86	41	18	ELM1R	WT
0002-YK86	42	19	ELM1R	WT
0002-YK86	43	20	ELM1R	WT
0002-YK86	44	21	ELM1R	WT
0002-YK86	45	22	ELM1R	WT
0002-YK86	46	23	ELM1R	WT
0002-YK86	47	24	ELM1R	WT
0002-YK86	48	25	ELM1R	WT
0002-YK86	49	26	ELM1R	WT
0002-YK86	50	27	ELM1R	WT
0002-YK86	51	28	ELM1R	WT
0002-YK86	52	29	ELM1R	WT
0002-YK86	53	29	ELM1R	WT
0002-YK86	54	30	ELM1R	WT
0002-YK86	55	30	ELM1R	WT
0002-YK86	56	30	ELM1R	WT
0002-YK86	57	30	ELM1R	WT
0002-YK86	58	31	ELM1R	WT
